,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
141,2020-07-24T00:00:00.000Z,201.3,202.86,197.51,200.42,39826989,197.7236416056,199.2559261605,194.0009759241,196.8592759592,39826989,0.0,1.0
142,2020-07-27T00:00:00.000Z,203.85,203.97,200.86,201.47,30160867,200.2283375126,200.3462055553,197.2914587824,197.8906213327,30160867,0.0,1.0
143,2020-07-28T00:00:00.000Z,202.02,204.7,201.74,203.61,23251388,198.4308498617,201.0632361483,198.1558244288,199.9926014273,23251388,0.0,1.0
144,2020-07-29T00:00:00.000Z,204.06,204.65,202.01,202.5,19632602,200.4346065873,201.0141244639,198.4210275248,198.9023220324,19632602,0.0,1.0
145,2020-07-30T00:00:00.000Z,203.9,204.46,199.57,201.0,25079596,200.2774491971,200.827500063,196.0243773235,197.4289714989,25079596,0.0,1.0
146,2020-07-31T00:00:00.000Z,205.01,205.1,199.01,204.4,51247969,201.3677285919,201.456129624,195.4743264576,200.7685660416,51247969,0.0,1.0
147,2020-08-03T00:00:00.000Z,216.54,217.64,210.44,211.52,78983009,212.6928830267,213.7733400846,206.7012575235,207.7620699076,78983009,0.0,1.0
148,2020-08-04T00:00:00.000Z,213.29,214.77,210.31,214.17,49280056,209.5006235373,210.9543293971,206.5735671439,210.3649891836,49280056,0.0,1.0
149,2020-08-05T00:00:00.000Z,212.94,215.0,211.57,214.9,28858621,209.1568417461,211.1802431455,207.8111815921,211.0820197766,28858621,0.0,1.0
150,2020-08-06T00:00:00.000Z,216.35,216.3705,211.55,212.34,32656843,212.5062586258,212.5263944164,207.7915369183,208.5675015327,32656843,0.0,1.0
151,2020-08-07T00:00:00.000Z,212.48,215.7,210.93,214.85,27820421,208.7050142491,211.8678067279,207.1825520311,211.0329080922,27820421,0.0,1.0
152,2020-08-10T00:00:00.000Z,208.25,211.88,206.35,211.67,36716462,204.5501657445,208.1156740357,202.6839217353,207.909404961,36716462,0.0,1.0
153,2020-08-11T00:00:00.000Z,203.38,207.65,203.14,207.155,36446459,199.7666876788,203.960825531,199.5309515934,203.474619855,36446459,0.0,1.0
154,2020-08-12T00:00:00.000Z,209.19,210.28,204.75,205.29,28041364,205.4734654122,206.5441001332,201.1123478328,201.6427540249,28041364,0.0,1.0
155,2020-08-13T00:00:00.000Z,208.7,211.35,208.15,209.44,22588870,204.9921709045,207.5950901805,204.4519423756,205.7190238344,22588870,0.0,1.0
156,2020-08-14T00:00:00.000Z,208.9,209.59,207.51,208.76,17958936,205.1886176423,205.8663588878,203.8233128146,205.0511049259,17958936,0.0,1.0
157,2020-08-17T00:00:00.000Z,210.28,211.1874,208.915,209.6,20063496,206.5441001332,207.4353789827,205.2033511477,205.8761812247,20063496,0.0,1.0
158,2020-08-18T00:00:00.000Z,211.49,212.36,209.21,210.53,21336167,207.732602897,208.5871462065,205.4931100859,206.7896585555,21336167,0.0,1.0
159,2020-08-19T00:00:00.000Z,209.7,212.1,209.25,211.49,27627561,206.475343775,208.8384378382,206.0322636381,208.2378180972,27627561,0.51,1.0
160,2020-08-20T00:00:00.000Z,214.58,215.0,208.91,209.54,26981478,211.2803017036,211.6938431646,205.6974919792,206.3178041708,26981478,0.0,1.0
161,2020-08-21T00:00:00.000Z,213.02,216.25,212.85,213.86,36249319,209.7442905625,212.9246213226,209.576904733,210.5713734846,36249319,0.0,1.0
162,2020-08-24T00:00:00.000Z,213.69,215.52,212.43,214.79,25460147,210.4039876551,212.2058468783,209.1633632719,211.4870724341,25460147,0.0,1.0
163,2020-08-25T00:00:00.000Z,216.47,216.61,213.1,213.1,23043696,213.1412382784,213.2790854321,209.8230603646,209.8230603646,23043696,0.0,1.0
164,2020-08-26T00:00:00.000Z,221.15,222.09,217.36,217.88,39600828,217.7492717017,218.6748168764,214.0175523268,214.5295560405,39600828,0.0,1.0
165,2020-08-27T00:00:00.000Z,226.58,231.15,219.4,222.89,57602195,223.0957720197,227.5954969651,216.0261822806,219.4625148975,57602195,0.0,1.0
166,2020-08-28T00:00:00.000Z,228.91,230.644,226.58,228.18,26292896,225.3899425061,227.0972779668,223.0957720197,224.6711680619,26292896,0.0,1.0
167,2020-08-31T00:00:00.000Z,225.53,228.7,224.31,227.0,28774156,222.0619183671,225.1831717756,220.8606788849,223.5093134808,28774156,0.0,1.0
168,2020-09-01T00:00:00.000Z,227.27,227.45,224.43,225.51,25791235,223.7751615629,223.9523936177,220.9788335881,222.0422259165,25791235,0.0,1.0
169,2020-09-02T00:00:00.000Z,231.65,232.86,227.35,227.97,34080839,228.0878082283,229.2792014852,223.853931365,224.4643973314,34080839,0.0,1.0
170,2020-09-03T00:00:00.000Z,217.3,229.31,214.9602,229.27,58400288,213.9584749752,225.7837915167,211.6546551881,225.7444066156,58400288,0.0,1.0
171,2020-09-04T00:00:00.000Z,214.25,218.3599,205.19,215.1,59664072,210.9553762699,215.0020763909,202.0346961812,211.7923054173,59664072,0.0,1.0
172,2020-09-08T00:00:00.000Z,202.66,210.03,202.2,206.5,52924330,199.5436011895,206.8002692087,199.0906748274,203.3245516907,52924330,0.0,1.0
173,2020-09-09T00:00:00.000Z,211.29,214.8399,206.7,207.6,45678986,208.0408935919,211.5362050982,203.521476196,204.4076364697,45678986,0.0,1.0
174,2020-09-10T00:00:00.000Z,205.37,214.74,204.11,213.4,35461514,202.2119282359,211.4378413078,200.9713038527,210.1184471225,35461514,0.0,1.0
175,2020-09-11T00:00:00.000Z,204.03,208.63,201.24,207.2,33620073,200.8925340506,205.4217976718,198.1454372021,204.0137874591,33620073,0.0,1.0
176,2020-09-14T00:00:00.000Z,205.41,209.2,204.03,204.24,30375768,202.251313137,205.9830325118,200.8925340506,201.0993047811,30375768,0.0,1.0
177,2020-09-15T00:00:00.000Z,208.78,209.78,206.93,208.42,21823942,205.5694910508,206.5541135771,203.747939377,205.2150269413,21823942,0.0,1.0
178,2020-09-16T00:00:00.000Z,205.05,210.65,204.64,210.62,26372464,201.8968490275,207.410735175,201.4931537917,207.3811964992,26372464,0.0,1.0
179,2020-09-17T00:00:00.000Z,202.91,204.33,199.96,200.05,34011257,199.7897568211,201.1879208085,196.8851203684,196.9737363957,34011257,0.0,1.0
180,2020-09-18T00:00:00.000Z,200.39,203.65,196.25,202.8,55225326,197.3085080547,200.5183774906,193.2321707956,199.6814483432,55225326,0.0,1.0
181,2020-09-21T00:00:00.000Z,202.54,202.71,196.38,197.19,39839657,199.4254464864,199.5928323158,193.3601717241,194.1577159704,39839657,0.0,1.0
